personId,billingYear,treatmentDate,treatmentCode,treatmentAmount
73074645,201806,201806,100703,492.07
73073780,201806,201806,100703,490.69
72892796,201806,201806,100503,3265
72980808,201808,201808,100703,645.46
73033817,201905,201905,100503,3053
74335730,201906,201906,100703,6105.3
72911714,202007,202007,100703,1126.14
72911714,202004,202004,100503,4884
74227902,202006,202006,100503,3334
72892796,202006,202006,100503,3265
72911714,201906,201906,100503,5285
72911714,201808,201808,100503,5285
74227902,201802,201802,100503,3334
73041860,201804,201804,100503,2874
74020397,201907,201907,100703,563.95
72911714,201801,201801,100503,5285
72911714,201809,201809,100503,5285
73041860,201906,201906,100503,3054
72892796,202007,202007,100703,850.56
74020397,201902,201902,100703,563.95
72905779,201902,201902,100703,721.83
73206439,201811,201811,100703,677.43
73706774,201808,201808,100503,2934
73706774,201902,201902,100503,2934
72911714,201802,201802,120011,
72955864,201904,201904,100503,3235
73041860,201905,201905,100503,3054
10143738,201810,201810,100503,3482
73206439,201804,201804,100503,3383
73206439,201911,201911,100703,879.38
74020397,201908,201908,100703,755.09
72893833,201907,201907,100703,530.56
72980808,201806,201806,100703,482.43
74020397,202004,202004,100703,755.09
74227902,202004,202004,100703,786.42
73044820,201811,201811,100703,621.81
74227902,201905,201905,100503,3334
74227902,201808,201808,100703,610.93
74020397,201807,201807,100703,398.64
73073780,201801,201801,100703,490.69
72905779,202007,202007,100703,928.31
72955864,201902,201902,100503,3235
74227902,202002,202002,100503,3334
72980808,201806,201806,100503,3281
72893833,201805,201805,100503,2864
72905779,202004,202004,100503,3672
72905779,202009,202009,100703,1130.42
72911714,202011,202011,100502,189078
72892796,202012,202012,100501,
72892796,202009,202009,100703,1038.78
72905779,202010,202010,100703,1130.42
72911714,202009,202009,100703,1373.8
72911714,202106,202106,120011,
72911714,202102,202102,120011,
72911714,202009,202009,120013,401
72892796,202009,202009,100503,3265
72905779,202009,202009,100503,3672
72905779,202010,202010,100503,3672
72911714,202009,202009,100503,4884
72905779,202009,202009,100703,1130.42
72911714,202011,202011,100502,189078
72892796,202012,202012,100501,
72892796,202009,202009,100703,1038.78
72905779,202010,202010,100703,1130.42
72911714,202009,202009,100703,1373.8
72911714,202106,202106,120011,
72911714,202102,202102,120011,
72911714,202009,202009,120013,401
72892796,202009,202009,100503,3265
72905779,202009,202009,100503,3672
72905779,202010,202010,100503,3672
72911714,202009,202009,100503,4884
